retrieval_id	source	category	primary_or_canonical_locator	short_anchor	evidence_class	status	retrieval_note
V13-L120	V13	RELATION_AS_HOSTAGE	V13 / p-007.xhtml para 952	「エイティシックスに裏切らせず、逆らわせず。これまでと同じように〈レギオン〉への爪牙とする。──そのための、わたしは人質でし...	CS	RETAINED	Lena recognizes herself as potential hostage infrastructure used to control Eighty-Six military behavior.
V14-L027	V14	RESPECT_FOR_WILL	p-005 para 85	行かないで、と言いたかった。けれどセオは、戻るつもりだ。アネットがいまさら何か言ってもそれはきっと変わらないし、それ以上に万一にも彼の意志を...	EXACT_VERIFIED	RETAINED	Annette wants Theo to stay but refuses to turn care into a veto over his decision.
V14-L060	V14	INSTITUTIONAL_OVERRIDE	p-005 para 400	シン自身の意志は全く無視したそうした運用も、十月攻勢からの連邦軍ならやってしまえる。	EXACT_VERIFIED	RETAINED	Federacy can operationalize Shin while ignoring his will, showing recognized persons can still be functionally captured.
V14-L075	V14	HUMANITY_AS_VULNERABILITY	p-006 para 345	「まさか。死神殿なら、お前たちが人間だからだと、そう仰おおせてくださることでしょう」	EXACT_VERIFIED	RETAINED	Sirin dialogue frames human trauma/vulnerability as a reason for differentiated treatment.
V14-L084	V14	HUMAN_FALLIBILITY	p-007 para 86	ああ、本当だ。人間なんて誰でもバカになるな。	EXACT_VERIFIED	RETAINED	Raiden recognizes that any human can become foolish; moral failure is treated as a state, not an essence.
V14-L095	V14	EMBODIED_PRESENTATION	p-007 para 161	「誰、と問われてもな。……この姿を私が選んだわけではない。おそらく、この場所で聞こえるならこの人物の声だと、君が思っているから私のこともその...	EXACT_VERIFIED	RETAINED	No Face notes that current appearance/voice is not self-chosen, separating presentation from identity.
V14-L097	V14	POSTHUMAN_SELF_CLASSIFICATION	p-007 para 168	「……いかんな。つい人間だったころの名で応えようとしてしまった。私はもはや人ではないというのに」	EXACT_VERIFIED	RETAINED	No Face denies current human status while retaining a prehuman name impulse.
V14-L104	V14	DIFFERENT_ENDS	p-007 para 316	「じゃが、シンエイめが収めたからといって、そなたもまた吞のみこまねばならぬということはなかろうが。あやつとそなたは立場が違う。望みも違う。あ...	EXACT_VERIFIED	RETAINED	Frederica insists that another person's choice cannot automatically determine one's own because positions/desires differ.
V14-L114	V14	ORDINARY_HUMAN_SELF_RECOGNITION	p-007 para 560	自分たちは、ただの人間だと。	EXACT_VERIFIED	RETAINED	The Eighty-Six are reasserted as ordinary humans rather than exceptional species.
V14-L115	V14	PLURAL_PERSON	p-007 para 561	笑うし楽しむし好きな料理もあれば下手な物事もある、どこにでもいるただの人間なのだと。化物なんかじゃない、化物と無闇に恐れ忌いみ嫌きらわれれば...	EXACT_VERIFIED	RETAINED	Ordinary personhood includes pleasures, incompetence, laughter and particular tastes, not only heroic or military function.
V14-L121	V14	RECOGNITION_WITHOUT_MYTH	p-008 para 7	「エイティシックスは化物なんかじゃないって。同じ人間、同胞だって。本当は自分でわかってるってことじゃないか……！」	EXACT_VERIFIED	RETAINED	Federacy soldiers can recognize the Eighty-Six as human peers rather than monsters.
V14-L127	V14	SIRIN_DISPOSABILITY	p-008 para 21	本来、使い捨ての無人機の部品である〈シリン〉たちは、だからこそこんな特攻に起用されれば喜んで帰ってこなくなる。〈大君主〉作戦に向けて一人の戦...	EXACT_VERIFIED	RETAINED	Sirin role design makes nonreturning sacrificial use institutionally attractive.
V14-L135	V14	NOFACE_CONVERSION_OFFER	p-008 para 143	「殺さずにすむ手段がある。君たちが人間でなくなればいい。そして我々〈レギオン〉は、〈レギオン〉同士では殺しあえない。つまり〈レギオン〉となれ...	EXACT_VERIFIED	RETAINED	No Face proposes ending killing by ending human status.
V14-L136	V14	MEMORY_PERSONALITY_CONTINUITY_CLAIM	p-008 para 147	「見てのとおり、〈レギオン〉には人格を有する個体がいる。皆みな、元は人間だ。体は失ったが、生前の記憶と人格はそのまま引き継いでいる。──君た...	EXACT_VERIFIED	RETAINED	No Face claims Legion can preserve pre-death memory and personality; classify as speaker claim, not automatic PF.
V14-L139	V14	BODY_REPLACEMENT_CLAIM	p-008 para 172	「〈レギオン〉は──〈仔アグ羊ヌス〉は死ぬことがない。壊れたならば体を乗り換え、古びたならば中央処理系を順次入れ替え、おそらくは望む限り生き...	EXACT_VERIFIED	RETAINED	No Face describes indefinite continuation through replaceable bodies/processing systems.
V14-L140	V14	PEACE_WITHOUT_CONFLICT_CLAIM	p-008 para 176	「決して争いあわずに済む同胞とは、永遠に平和な世界に生きられることは。──君たちには何よりも望ましい、渇かつ望ぼうしてきたものではないかね？...	EXACT_VERIFIED	RETAINED	No Face frames compulsory posthumanization as eternal peace.
V14-L144	V14	PRIOR_REFUSAL	p-008 para 204	「それを望まなかったのがおれたちだ。望まなかったからここにいる。死んでお前たちの隊列に加われば少なくとも共和国への復ふく讐しゆうは果たせると...	EXACT_VERIFIED	RETAINED	Shin grounds present identity partly in having refused the Legion/revenge path before.
V14-L147	V14	NO_FREE_HEART	p-008 para 224	「お前の掲げた世界は理想郷どころか地獄だ。一つの幸福もない。心一つも自由にならない。あるのはただ、二度と尽きない憎ぞう悪おだけで──それしか...	EXACT_VERIFIED	RETAINED	Shin rejects No Face because the proposed world has no happiness and no free heart.
V14-L150	V14	FUTURE_OVER_WOUND	p-008 para 242	「見くびるな。過去の傷よりも未来を選んだおれの仲間が、憎き悪ずに囚とらわれたお前たちのような亡霊に負けるものか」	EXACT_VERIFIED	RETAINED	Shin contrasts companions choosing future with ghosts captured by hatred.
V14-L153	V14	NONHUMAN_NOT_WORTHLESS	p-008 para 271	「お前たちは人間じゃないから怖くない！ 誰が、お前たちなんかに怯おびえるか！」	EXACT_VERIFIED	RETAINED	A Sirin denies fear of Legion by emphasizing nonhuman status; this is identity rhetoric, not proof of absent moral standing.
V14-L160	V14	HUMAN_CHANGE_VS_SIRIN_STASIS	p-008 para 359	まずい、また動けなくなる。人間である──成長して変化して強くなっていくエイティシックスたちならあるいは今度は耐えられるのかもしれないけれど、...	EXACT_VERIFIED	RETAINED	Narration contrasts human growth/change with the assumed Sirin model immediately before Lyudmila falsifies simple stasis.
V14-L163	V14	EMERGENT_SIRIN_DESIRE	p-008 para 366	初めて思った。〈シリン〉にはあるまじき衝動だった。	EXACT_VERIFIED	RETAINED	Lyudmila experiences fear of death as a supposedly improper new Sirin impulse.
V14-L171	V14	ANTI_TRANSCENDENCE	p-008 para 451	「見ろ。負けなかっただろう。──人を超越したこえたつもりで傲おごって見下して、神様きどりで余裕ぶるからそうなるんだ、〈レギオン〉」	EXACT_VERIFIED	RETAINED	Shin mocks Legion claims to transcend humanity, rejecting superiority as a personhood solution.
T02-V14-EPISTEMIC-CAUTION	V14	EPISTEMIC_LIMIT	item/xhtml/p-008.xhtml para 148	〈レギオン〉が人間の脳構造を模倣し、中央処理系に適用したことに人類が気づいたとは、連邦らの各国が戦死者の回収を徹底したことで〈レギオン〉の側も察したろう。だが、脳構造を取りこんだ〈レギオン〉が人格や記憶まで引き継いで...	NV/PF	NEW_RETRIEVAL	Narration explicitly says humans cannot normally know whether Legion brain-derived systems retain personality/memory; No Face claims require caution.
T02-V14-CONVERSION-CLAIM	V14	NOFACE_CLAIM	item/xhtml/p-008.xhtml para 154	「そうやって無闇に突っぱねるのは噓うそをついていると、詳細をよく知っていると言っているようなものだぞ、少年。──まあ、彼女のことはいい。本題に戻ろう。繰り返すが、〈レギオン〉には元の人間の人格を保持している個体がいる...	CS	NEW_RETRIEVAL	No Face asserts that under suitable conditions any human can become a personality-bearing Legion unit; remains antagonist testimony.
A1-E019	A1	FIDO_ORDINARY_RELATION	セオ＋カイエ＋ハルト＋ファイド	(Alter.1 story-level evidence; see canonical supplemental locator ledger)	CS	SUPPLEMENTAL_RETAINED	Fido participates in campfire/folklore recreation as part of Spearhead social life, not only support function.
A1-E032	A1	ADOLESCENT_BODY	成長	(Alter.1 story-level evidence; see canonical supplemental locator ledger)	NV	SUPPLEMENTAL_RETAINED	Eighty-Six bodies continue adolescent growth despite military competence.
A1-E036	A1	CURIOSITY_BEYOND_ROLE	徒歩圏内	(Alter.1 story-level evidence; see canonical supplemental locator ledger)	CS/BA	SUPPLEMENTAL_RETAINED	Shin independently pursues civilian historical curiosity, demonstrating desire beyond combat role.
A1-E087	A1	DESIRE_WITHOUT_DUTY	七月十二日（レーナ誕生日）・その二	(Alter.1 story-level evidence; see canonical supplemental locator ledger)	CS/LI	SUPPLEMENTAL_RETAINED	Shin gives a gift because he wanted to, a low-pressure example of action not justified by duty or role.
A1-E097	A1	POST_FUNCTION_RECIPROCITY	十一月十二日（アネット誕生日）	(Alter.1 story-level evidence; see canonical supplemental locator ledger)	CS/BA	SUPPLEMENTAL_RETAINED	Theo participates in ordinary reciprocity after amputation rather than disappearing with combat function.
