retrieval_id	source	locator	anchor	evidence_class	category	status	retrieval_note
V14-L024	V14	p-005 para 66	「わたしは戻れません。わたしには──今、中央にいるわたしには、こちらでやるべきことがある。だから……今はまだ、戻れません」	source	DEFERRED_RETURN	RETAINED_FROM_T01	Lena says she cannot return yet because responsibility currently requires remaining elsewhere.
V14-L025	V14	p-005 para 69	「待ってるよ。僕もみんなも、──シンも」	source	COLLECTIVE_WAITING	RETAINED_FROM_T01	Theo tells Lena that everyone, including Shin, is waiting.
V14-L028	V14	p-005 para 95	「シンとレーナとアンジュとダスティンと、ついでに王子殿下にぶつけるんだから。一緒にやるって言ったんだから。だからちゃんと待っててよ。ちゃんと...	source	RETURN_REQUEST	RETAINED_FROM_T01	Annette converts fear into a request that Theo come back rather than a prohibition on departure.
V14-L170	V14	p-008 para 447	ええ、無事に帰るまでが作戦ですから、と、リュドミラがなんだからしからぬ言葉を澄まして吐いた。	source	NORMALIZED_OPERATIONAL_RETURN	RETAINED_FROM_T01	Lyudmila now repeats the ordinary maxim that the operation lasts until everyone returns safely.
V14-L183	V14	p-008 para 568	今更だが聞いてみよう。この作戦から帰ったら。──泥水味の合成珈コー琲ヒーなんかよりはるかに旨うまい、スピアヘッド戦隊伝統のタンポポの根を炒い...	source	ORDINARY_FUTURE_RETURN	RETAINED_FROM_T01	Raiden imagines visiting his old Alba teacher after the operation, giving him a personal postwar/return destination.
V14-L209	V14	p-009 para 15	「……我らギアーデは、再び帝国に戻るべきだ」	source	REACTIONARY_RETURN	RETAINED_FROM_T01	A call to return to empire is the clearest negative control: return language can mean political regression, not recovery.
T04-V14-NR063	V14	item/xhtml/p-004.xhtml para 314	大切なものは持って避難したにしても、帰ってきた時に自宅が荒らされていたら、きっと悲しいだろうから。	NV/MI	EXPECTED_CIVILIAN_RETURN	NEW_RETRIEVAL	The Strike Package preserves civilian homes because residents are expected to return; operational ethics incorporate postwar ordinary life.
T04-V14-NR064	V14	item/xhtml/p-005.xhtml para 220	「最初の呼びかけが必ず『連邦市民の同胞諸君』なんだ」	CS/LI	CIVIC_ADDRESS	NEW_RETRIEVAL	Reactionary/propaganda speech claims fellow-citizen solidarity through a repeated civic address; linguistic inclusion can coexist with political manipulation.
T04-V14-NR065	V14	item/xhtml/p-005.xhtml para 342	「そうだ。だから、他の奴やつらだって変われる。戻ってこられる」	CS/LI	MORAL_RETURN	NEW_RETRIEVAL	Shin generalizes return from place to moral/political recoverability without erasing accountability.
T04-V14-NR066	V14	item/xhtml/p-005.xhtml para 437	「移ったら、それきり戻れなくなるだろ」	CS/LI	BLOCKED_RETURN	NEW_RETRIEVAL	Irreversible transfer is rejected because it would close the possibility of return; exit architecture remains ethically central.
T04-V14-NR067	V14	item/xhtml/p-008.xhtml para 11	「エイティシックスは化物なんかじゃないって。同じ人間、同胞だって。本当は自分でわかってるってことじゃないか……！」	CS/LI	CIVIC_RECOGNITION	NEW_RETRIEVAL	Citizens opposing dehumanization appeal to common humanity and compatriot status, showing civic belonging remains contestable within Giad.
T04-V14-NR068	V14	item/xhtml/p-009.xhtml para 19	「……我らギアーデは、再び帝国に戻るべきだ」	CS/LI	REACTIONARY_RETURN	NEW_RETRIEVAL	Political return can mean regression to empire, proving that return itself is not normatively good.
A1-E008	A1	冬の日に、隻影二つ	(supplemental story evidence; use Alter.1 story-level locator)	NV/SI	NO_RETURN_ADDRESS	RETAINED_FROM_T01	Early Shin believes nobody waits for his return, sharpening the before-state for later waiting language.
A1-E055	A1	盃に射す影	(supplemental story evidence; use Alter.1 story-level locator)	CS	ARCHIVE_NOT_HOME	RETAINED_FROM_T01	Recovered historical address does not automatically become an emotionally valid home.
T04-A1-NR069	A1	OEBPS/part0034.xhtml para 111	「そこから辿たどって、家族の名前とか元々住んでいた場所は、ある程度確認できてる。もちろん、生年月日も。──家は、今さら見ても、覚えてない知らない家だったけど」	CS/LI	ARCHIVAL_ORIGIN	NEW_RETRIEVAL	Recovered records restore biographical origin, names, addresses and birthdays without creating remembered home.
T04-A1-NR070	A1	OEBPS/part0052.xhtml para 3	玄関の扉を開けると先に戻っていた仲間たちとフレデリカと、エルンストに招かれてきていたレーナの笑顔が出迎えてくれる。帰る家だという感覚は、このエルンストの邸やしきにもやはり、ないけれど。	NV/LI	HOUSE_NOT_HOME	NEW_RETRIEVAL	Ernsts house functions as shelter/household without Shin necessarily experiencing it as his home.
T04-A1-NR071	A1	OEBPS/part0052.xhtml para 5	シンにとっては最も早はや、祖国だと、故郷だという意識はない国。それでもレーナには祖国で、……懐なつかしい故郷である国。	NV/LI	PLURAL_HOMELAND	NEW_RETRIEVAL	The same Republic can be non-homeland to Shin and still be homeland/home to Lena; relational perspective matters.
T04-A1-NR072	A1	OEBPS/part0050.xhtml para 10	で、祖国の陥落に伴い帰る家も失なくした彼女たちを気遣って、連邦でのシンやライデンやセオたち五人の書類上の保護者であるところの、連邦大統領エルンスト・ツィマーマン氏が自邸に招待してくれたのだが。	NV	HOUSEHOLD_LOSS	NEW_RETRIEVAL	Lena and Annette lose literal houses alongside national collapse; household and polity loss overlap but are not identical.
