evidence_id	source	source_locator	prior_locator_id	short_japanese_anchor	quote_state	evidence_class	families	analytic_function	note
T12-E132	V12	Ch.2 / p-005 ¶516	V12-L029	一人きりじゃ戦えない、弱い死神だから	EXACT_VERIFIED	CS/LI	DEATH_GOD_UNDERTAKER	shin_death_god_undertaker_role_lexicon	02, 07, 10, 12
T12-E133	V12	Ch.3 / p-006 ¶382	V12-L041	臣民自身が望んだ自由だろうに	EXACT_VERIFIED	CS/LI	FREEDOM;DESIRE_CHOICE	freedom_rights_illusion_normative_lexicon	06, 14
T12-E134	V12	Ch.5 / p-008 ¶131	V12-L058	正義の国は卑怯だ	EXACT_VERIFIED	CS	JUSTICE	justice_aspiration_identity_grammar	06, 14
T12-E135	V12	Ch.5 / p-008 ¶148	V12-L060	自由や平等など、……残酷なだけだ	EXACT_VERIFIED	CS/IT	FREEDOM;EQUALITY_RIGHTS	freedom_rights_illusion_normative_lexicon	06, 14
T12-E136	V12	Ch.5 / p-008 ¶410	V12-L066	レーナに負担をかけていなかったかなって	EXACT_VERIFIED	CS	ADDRESS_FORMS	address_register_command_request	02, 03, 10
T12-E137	V12	Ch.5 / p-008 ¶415–417	V12-L067	従うのではなく支えてくれた	EXACT_VERIFIED	CS/LI	SUPPORT;OBEY;COMMAND_REQUEST	support_obey_trust_rely_contrast	03, 04, 10
T12-E138	V12	Ch.5 / p-008 ¶429	V12-L069	レーナが足りない。早く会いたい。傍にいたい	EXACT_VERIFIED	CS/LI	ADDRESS_FORMS	address_register_command_request	02, 10, 12
T12-E139	V12	Epilogue / p-009 ¶33	V12-L078	帰り道を、教えてほしいの	EXACT_VERIFIED	CS/LI	RETURN_KAERU	return_kaeru_homeward_recipient	04, 09, 13
T12-E140	V13	V13 / p-002.xhtml para 11	V13-L003	学校には毎日、一緒に通って。帰ってきてからもまた遊んで。	EXACT_VERIFIED	BA	RETURN_KAERU;TOGETHER_ISSHO;FUTURE_TIME	return_kaeru_homeward_recipient	Retained from V13 canonical locator after contextual rereading.
T12-E141	V13	V13 / p-003.xhtml para 483	V13-L016	何が目的でこんなものを、と問われて、プリムヴェールは唇を嚙む。聴取の対象として共和国軍の高官や研究者、政府関係者と共に護送さ...	EXACT_VERIFIED	MI	TOGETHER_TOMONI	together_tomoni_elevated_shared_burden	Retained from V13 canonical locator after contextual rereading.
T12-E142	V13	V13 / p-003.xhtml para 497	V13-L024	同胞の顔をして傍らに送りこまれ、──そしてある時、諸共に爆死するための。	EXACT_VERIFIED	MI	TOGETHER_TOMONI	together_tomoni_elevated_shared_burden	Retained from V13 canonical locator after contextual rereading.
T12-E143	V13	V13 / p-003.xhtml para 509	V13-L025	「本命は捕虜です。……敵国から無事、帰還した捕虜がある日突然自爆したとしたら？前線で、いえそれよりも、後方の自宅や故郷で。安...	EXACT_VERIFIED	MI	MILITARY_RETURN;HOME_FURUSATO	home_furusato	Retained from V13 canonical locator after contextual rereading.
T12-E144	V13	V13 / p-004.xhtml para 434	V13-L035	「それがもし、呪いみたいになってたらいけないから会いたかったけど。……いまさら会っても、それはそれで呪いになりそうだから──...	EXACT_VERIFIED	CS	CURSE	curse_wish_bond_prayer_semantic_field	Retained from V13 canonical locator after contextual rereading.
T12-E145	V13	V13 / p-005.xhtml para 427	V13-L046	それでもなお、その重い自由と平等を維持したいのなら、救済の仕組みは作るべきだった。何もできない人間が、それでも代替品の充足を...	EXACT_VERIFIED	CS	FREEDOM;EQUALITY_RIGHTS	freedom_rights_illusion_normative_lexicon	Retained from V13 canonical locator after contextual rereading.
T12-E146	V13	V13 / p-005.xhtml para 445	V13-L047	「そして私も。ええ、人は愚か者です。私は愚か者です。賢明という名には永久に値しないのかもしれない。自由も平等も、あまりにも無...	EXACT_VERIFIED	CS	FREEDOM;EQUALITY_RIGHTS	freedom_rights_illusion_normative_lexicon	Retained from V13 canonical locator after contextual rereading.
T12-E147	V13	V13 / p-005.xhtml para 447	V13-L048	人権だとか、自由だとか平等だとか正義だとか。そういうものは、なるほど幻想だ。実在しない。だからこそ市民それぞれが、その幻想の...	EXACT_VERIFIED	CS	FREEDOM;EQUALITY_RIGHTS;JUSTICE;ILLUSION	justice_aspiration_identity_grammar	Retained from V13 canonical locator after contextual rereading.
T12-E148	V13	V13 / p-005.xhtml para 642	V13-L063	「言われる筋合いはないな。歯車細工、貴様にも。……俺の意思だ」	EXACT_VERIFIED	CS	PERSONHOOD_SELF	personhood_personality_self_will_lexicon	Retained from V13 canonical locator after contextual rereading.
T12-E149	V13	V13 / p-005.xhtml para 655	V13-L065	「正義を人に──捨てさせるんだ」	EXACT_VERIFIED	CS	JUSTICE	justice_aspiration_identity_grammar	Retained from V13 canonical locator after contextual rereading.
T12-E150	V13	V13 / p-006.xhtml para 11	V13-L068	「這ってでも行くわ。……帰るんだもの」	EXACT_VERIFIED	CS	RETURN_KAERU	return_kaeru_homeward_recipient	Retained from V13 canonical locator after contextual rereading.
T12-E151	V13	V13 / p-006.xhtml para 208	V13-L073	家族への、同胞への、祖国への愛。それらは所詮、愛という美名で糊塗しただけの卑劣だ。大切なものとそれ以外を天秤にかけて、大切で...	EXACT_VERIFIED	CS	HOMELAND_SOKOKU	homeland_sokoku	Retained from V13 canonical locator after contextual rereading.
T12-E152	V13	V13 / p-006.xhtml para 183	V13-L077	『君は、やさしさの側の人間だ。他人の痛みに、心を寄せて共に悲しめる人間だ。それは正しい。君のかたちこそがきっと正しい。だから...	EXACT_VERIFIED	CS	TOGETHER_TOMONI	together_tomoni_elevated_shared_burden	Retained from V13 canonical locator after contextual rereading.
T12-E153	V13	V13 / p-007.xhtml para 26	V13-L081	──一人じゃ戦えない、弱い死神だから。	EXACT_VERIFIED	LI	DEATH_GOD_UNDERTAKER	shin_death_god_undertaker_role_lexicon	Retained from V13 canonical locator after contextual rereading.
T12-E154	V13	V13 / p-007.xhtml para 38	V13-L082	『今度こそ聞こえていますね、〈アンダーテイカー〉。ヴラディレーナ・ミリーゼ大佐、指揮に復帰します。──心配かけました、シン』	EXACT_VERIFIED	CS	DEATH_GOD_UNDERTAKER;ADDRESS_FORMS	shin_death_god_undertaker_role_lexicon	Retained from V13 canonical locator after contextual rereading.
T12-E155	V13	V13 / p-007.xhtml para 62	V13-L084	戦隊長としての判断を求めたレーナの、言外の信頼を正しく彼は受け取ってくれた。	EXACT_VERIFIED	NV	TRUST;COMMAND_REQUEST;ADDRESS_FORMS	support_obey_trust_rely_contrast	Retained from V13 canonical locator after contextual rereading.
T12-E156	V13	V13 / p-007.xhtml para 177	V13-L091	「こんな知らない場所じゃなくて、こんな何もない場所じゃなくて故郷の街に帰りたかった。もう一度おとうさんに、おかあさんに、先生...	EXACT_VERIFIED	CS	RETURN_KAERU;HOME_FURUSATO;FUTURE_TIME	home_furusato	Retained from V13 canonical locator after contextual rereading.
T12-E157	V13	V13 / p-007.xhtml para 270	V13-L096	あなたの呪いになるね。	EXACT_VERIFIED	CS	CURSE;ADDRESS_FORMS	curse_wish_bond_prayer_semantic_field	Retained from V13 canonical locator after contextual rereading.
T12-E158	V13	V13 / p-007.xhtml para 277	V13-L097	髪をまとめるリボンを、繊手がするりとほどいてさしだす。受け取り、少しだけ迷ったが取ったその手の甲に口づけた。君という呪いを、...	EXACT_VERIFIED	BA	CURSE	curse_wish_bond_prayer_semantic_field	Retained from V13 canonical locator after contextual rereading.
T12-E159	V13	V13 / p-007.xhtml para 279	V13-L098	「それと、もう一つお願い。──どうかこのあとの、わたしをみないで」	EXACT_VERIFIED	CS	WISH_BOND_PRAYER;FUTURE_TIME	curse_wish_bond_prayer_semantic_field	Retained from V13 canonical locator after contextual rereading.
T12-E160	V13	V13 / p-007.xhtml para 540	V13-L100	『えっ、あっその、……帰ったらキスしてあげますねシン！』	EXACT_VERIFIED	CS	RETURN_KAERU	return_kaeru_homeward_recipient	Retained from V13 canonical locator after contextual rereading.
T12-E161	V13	V13 / p-007.xhtml para 587	V13-L101	「君の声が聞こえたんだ。帰ってきて、って。……願ってくれたんだろ？」	EXACT_VERIFIED	CS	RETURN_KAERU;WISH_BOND_PRAYER;COMMAND_REQUEST	return_kaeru_homeward_recipient	Retained from V13 canonical locator after contextual rereading.
T12-E162	V13	V13 / p-007.xhtml para 589	V13-L102	「届いたよ、ちゃんと。帰らなきゃって、だから思えた。だから死なないでここまで、帰ってこられたんだ。ずるをした俺だけど、ずるを...	EXACT_VERIFIED	CS	RETURN_KAERU	return_kaeru_homeward_recipient	Retained from V13 canonical locator after contextual rereading.
T12-E163	V13	V13 / p-007.xhtml para 601	V13-L103	正義に、使命に、誰も彼もを救おうなんて誰にとっても身の程知らずの大望にまで、殉じようとしないでくれと、願ってくれただけだった...	EXACT_VERIFIED	IT	WISH_BOND_PRAYER;JUSTICE;COMMAND_REQUEST	curse_wish_bond_prayer_semantic_field	Retained from V13 canonical locator after contextual rereading.
T12-E164	V13	V13 / p-007.xhtml para 744	V13-L107	女性が抱いているのは、銃弾に割られた頭蓋から中身と共に生命も人格も取りこぼしてしまった、リト・オリヤの遺骸だった。	EXACT_VERIFIED	NV	TOGETHER_TOMONI;PERSONHOOD_SELF	together_tomoni_elevated_shared_burden	Retained from V13 canonical locator after contextual rereading.
T12-E165	V13	V13 / p-007.xhtml para 853	V13-L113	言葉も、願いも、祈りも、感情も、およそ人が人に向けるものはどれもが呪いだ。進む足を縛る。先行きを捻じ曲げる。選ぶ道を誤らせ、...	EXACT_VERIFIED	NV	CURSE;WISH_BOND_PRAYER;DESIRE_CHOICE	curse_wish_bond_prayer_semantic_field	Retained from V13 canonical locator after contextual rereading.
T12-E166	V13	V13 / p-007.xhtml para 854	V13-L114	それでもなお受けいれられた呪いを、せめて、愛と呼ぶのだろう。	EXACT_VERIFIED	NV	CURSE	curse_wish_bond_prayer_semantic_field	Retained from V13 canonical locator after contextual rereading.
T12-E167	V13	V13 / p-007.xhtml para 885	V13-L115	「ただし──リュストカマー基地への帰還だけは、許可できません。……ミリーゼ大佐、ペンローズ少佐はとりわけ、ご存じでしょう。全...	EXACT_VERIFIED	MI	MILITARY_RETURN;ADDRESS_FORMS	return_operational_kikan_seikan	Retained from V13 canonical locator after contextual rereading.
T12-E168	V13	V13 / p-007.xhtml para 950	V13-L119	「エイティシックスの女王たるわたしを首都に留め、彼らへの人質にする。これから必ず、憤りや恨みや叛意さえ抱くだろう彼らに、なお...	EXACT_VERIFIED	CS	FUTURE_TIME;QUEEN_TITLE	lena_queen_title_role_address	Retained from V13 canonical locator after contextual rereading.
T12-E169	V13	V13 / p-007.xhtml para 985	V13-L124	平和の故郷に帰ることも。	EXACT_VERIFIED	NV	RETURN_KAERU;HOME_FURUSATO	home_furusato	Retained from V13 canonical locator after contextual rereading.
T12-E170	V14	p-001 paragraph 1	V14-L001	我ら、世界に誇る正義たらん	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	JUSTICE;JUSTICE_ASPIRATIONAL	justice_aspiration_identity_grammar	Retained from V14 canonical locator after contextual rereading.
T12-E171	V14	p-002 paragraph 9	V14-L002	戦場を逐おわれることでその混迷より距離を置き。司令部を離れることでその罪を逃れ。以もつて冷徹と正義を保てと。──軍も連邦そのものも事実上瓦が...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	JUSTICE	justice_aspiration_identity_grammar	Retained from V14 canonical locator after contextual rereading.
T12-E172	V14	p-002 paragraph 10	V14-L003	そう、彼ら〈戦史編へん纂さん室〉が任されたのは過去の戦史ではない。未来の戦史だ。〈レギオン〉から連邦を、人類を救うこれからの作戦の計画だ。	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	FUTURE_TIME	temporal_grammar_mou_mada_mata_itsuka	Retained from V14 canonical locator after contextual rereading.
T12-E173	V14	p-004 paragraph 293	V14-L011	基本的には商店から、後日住民が戻ってきたときには払い戻せるように記録をつけて。一方で民家からの調達は可能な限り避けることとし、学校とその寮を...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	RETURN_MODORU	return_modoru_state_reentry_recovery	Retained from V14 canonical locator after contextual rereading.
T12-E174	V14	p-004 paragraph 294	V14-L012	大切なものは持って避難したにしても、帰ってきた時に自宅が荒らされていたら、きっと悲しいだろうから。	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	RETURN_KAERU	return_kaeru_homeward_recipient	Retained from V14 canonical locator after contextual rereading.
T12-E175	V14	p-005 paragraph 55	V14-L023	だって僕は、戦い抜き生き抜くことを誇りとした──エイティシックスの一人なのだから。	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	PRIDE	pride_exclusivity_shika	Retained from V14 canonical locator after contextual rereading.
T12-E176	V14	p-005 paragraph 66	V14-L024	「わたしは戻れません。わたしには──今、中央にいるわたしには、こちらでやるべきことがある。だから……今はまだ、戻れません」	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	RETURN_MODORU;FUTURE_TIME	return_modoru_state_reentry_recovery	Retained from V14 canonical locator after contextual rereading.
T12-E177	V14	p-005 paragraph 85	V14-L027	行かないで、と言いたかった。けれどセオは、戻るつもりだ。アネットがいまさら何か言ってもそれはきっと変わらないし、それ以上に万一にも彼の意志を...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	RETURN_MODORU;PERSONHOOD_SELF	return_modoru_state_reentry_recovery	Retained from V14 canonical locator after contextual rereading.
T12-E178	V14	p-005 paragraph 95	V14-L028	「シンとレーナとアンジュとダスティンと、ついでに王子殿下にぶつけるんだから。一緒にやるって言ったんだから。だからちゃんと待っててよ。ちゃんと...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	TOGETHER_ISSHO;WAIT_LEAVE_BEHIND;ADDRESS_FORMS	together_issho_ordinary_shared_proximity	Retained from V14 canonical locator after contextual rereading.
T12-E179	V14	p-005 paragraph 166	V14-L035	「後方には信頼できる上官がいるし、僕の保護者だって一応まだ政府高官だ。ミエル一人くらい匿かくまえる。だから」	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	TRUST;FUTURE_TIME	support_obey_trust_rely_contrast	Retained from V14 canonical locator after contextual rereading.
T12-E180	V14	p-005 paragraph 308	V14-L044	「そうだ。だから、他の奴やつらだって変われる。戻ってこられる」	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	RETURN_MODORU;MORAL_RETURN	return_modoru_state_reentry_recovery	Retained from V14 canonical locator after contextual rereading.
T12-E181	V14	p-005 paragraph 313	V14-L045	「人は愚かじゃない。ただ、いつでも賢くはいられないというだけだ。戦場に吞のまれる。恐怖に吞のまれる。吞のまれた果てに、自分でも信じられないよ...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	TRUST	support_obey_trust_rely_contrast	Retained from V14 canonical locator after contextual rereading.
T12-E182	V14	p-005 paragraph 331	V14-L049	シンは、シンこそが、赦ゆるしてなどいない。身勝手な正義でリトを殺し、あげくその身勝手を正当化しようとエイティシックスを人類の敵へと仕立てあげ...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	JUSTICE	justice_aspiration_identity_grammar	Retained from V14 canonical locator after contextual rereading.
T12-E183	V14	p-005 paragraph 334	V14-L050	「そのためにも、連邦は生き残らせないといけない。正義の国として。仲間殺し、子供殺しを市民の誰もが過あやまちだと指弾する国として復活させないと...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	JUSTICE	justice_aspiration_identity_grammar	Retained from V14 canonical locator after contextual rereading.
T12-E184	V14	p-005 paragraph 353	V14-L054	許したのとも違う。傷から逃れ、憎ぞう悪おから逃れ、そうすることで共和国の呪縛をも脱して、自分の生を生きようとしている。	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	FORGIVE_ALLOW	forgive_allow_orthographic_context	Retained from V14 canonical locator after contextual rereading.
T12-E185	V14	p-005 paragraph 395	V14-L058	「移ったら、それきり戻れなくなるだろ」	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	RETURN_MODORU	return_modoru_state_reentry_recovery	Retained from V14 canonical locator after contextual rereading.
T12-E186	V14	p-005 paragraph 400	V14-L060	シン自身の意志は全く無視したそうした運用も、十月攻勢からの連邦軍ならやってしまえる。	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	PERSONHOOD_SELF	personhood_personality_self_will_lexicon	Retained from V14 canonical locator after contextual rereading.
T12-E187	V14	p-005 paragraph 408	V14-L062	「なるべく今後は僕が一緒に食事とるようにするよ。それで先に、味とか教えるから」	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	TOGETHER_ISSHO	together_issho_ordinary_shared_proximity	Retained from V14 canonical locator after contextual rereading.
T12-E188	V14	p-006 paragraph 345	V14-L075	「まさか。死神殿なら、お前たちが人間だからだと、そう仰おおせてくださることでしょう」	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	DEATH_GOD_UNDERTAKER	shin_death_god_undertaker_role_lexicon	Retained from V14 canonical locator after contextual rereading.
T12-E189	V14	p-006 paragraph 342	V14-L077	リトの死を、目撃してしまった彼の遺体とその時の衝撃を、ひきずり出されて凍りついてしまったのだ。〈レギンレイヴ〉と共に牽けん引いんされてリュス...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	TOGETHER_TOMONI	together_tomoni_elevated_shared_burden	Retained from V14 canonical locator after contextual rereading.
T12-E190	V14	p-006 paragraph 397	V14-L079	そして泣いたら、立っていられなくなる。指揮官の、女王の、強い仮面が崩れてしまう。	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	QUEEN_TITLE	lena_queen_title_role_address	Retained from V14 canonical locator after contextual rereading.
T12-E191	V14	p-006 paragraph 399	V14-L080	戦場に戦お帝うが不在の今こそ──鮮血の女王じよおうが立たぬわけにはいかないのだから。	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	QUEEN_TITLE	lena_queen_title_role_address	Retained from V14 canonical locator after contextual rereading.
T12-E192	V14	p-007 paragraph 75	V14-L082	第一大隊長を、機動打撃群の死神の地位を代行する今は、全プロセッサー、全エイティシックスの事実上の頭となってしまった今は、ライデンの言葉や振舞...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	DEATH_GOD_UNDERTAKER	shin_death_god_undertaker_role_lexicon	Retained from V14 canonical locator after contextual rereading.
T12-E193	V14	p-007 paragraph 89	V14-L085	クーデターなんて所詮、転てん嫁かでしかなかったのだ。リトを殺されて悪魔に仕立てあげられて、けれどそいつら自身には向けようもない憤ふん懣まんと...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	EXCLUSIVITY_SHIKA	pride_exclusivity_shika	Retained from V14 canonical locator after contextual rereading.
T12-E194	V14	p-008 paragraph 11	V14-L122	目を閉じたままの無様なんて、都合の悪いものを見ない無様なんて、この苦境では許されない甘えなのだから。民主制を選び勝ち取った自分たち連邦市民に...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	DESIRE_CHOICE;FORGIVE_ALLOW	forgive_allow_orthographic_context	Retained from V14 canonical locator after contextual rereading.
T12-E195	V14	p-008 paragraph 13	V14-L123	「我ら、世界に誇る正義たらん！ ──連邦市民の同胞たち、今日もこんばんは！」	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	JUSTICE;JUSTICE_ASPIRATIONAL	justice_aspiration_identity_grammar	Retained from V14 canonical locator after contextual rereading.
T12-E196	V14	p-008 paragraph 21	V14-L127	本来、使い捨ての無人機の部品である〈シリン〉たちは、だからこそこんな特攻に起用されれば喜んで帰ってこなくなる。〈大君主〉作戦に向けて一人の戦...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	RETURN_KAERU	return_kaeru_homeward_recipient	Retained from V14 canonical locator after contextual rereading.
T12-E197	V14	p-008 paragraph 29	V14-L129	「俺はあんたを信頼してるぜ、レーナ。だからあんたも信じてくれよ」	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	TRUST;COMMAND_REQUEST;ADDRESS_FORMS	support_obey_trust_rely_contrast	Retained from V14 canonical locator after contextual rereading.
T12-E198	V14	p-008 paragraph 147	V14-L136	「見てのとおり、〈レギオン〉には人格を有する個体がいる。皆みな、元は人間だ。体は失ったが、生前の記憶と人格はそのまま引き継いでいる。──君た...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	PERSONHOOD_SELF	personhood_personality_self_will_lexicon	Retained from V14 canonical locator after contextual rereading.
T12-E199	V14	p-008 paragraph 224	V14-L147	「お前の掲げた世界は理想郷どころか地獄だ。一つの幸福もない。心一つも自由にならない。あるのはただ、二度と尽きない憎ぞう悪おだけで──それしか...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	FREEDOM	freedom_rights_illusion_normative_lexicon	Retained from V14 canonical locator after contextual rereading.
T12-E200	V14	p-008 paragraph 320	V14-L156	エイティシックスたちも奮戦してはいるが、精神攪乱型ヴァネシード展開下のこの作戦では心ト的ラ外ウ傷マを持たず信頼性の高い〈シリン〉とその駆る〈...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	TRUST	support_obey_trust_rely_contrast	Retained from V14 canonical locator after contextual rereading.
T12-E201	V14	p-008 paragraph 354	V14-L159	「〈アルメ・フュリウーズ〉、投射！ ──あとはお願い、ライデン！」	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	WISH_BOND_PRAYER	curse_wish_bond_prayer_semantic_field	Retained from V14 canonical locator after contextual rereading.
T12-E202	V14	p-008 paragraph 447	V14-L170	ええ、無事に帰るまでが作戦ですから、と、リュドミラがなんだからしからぬ言葉を澄まして吐いた。	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	RETURN_KAERU	return_kaeru_homeward_recipient	Retained from V14 canonical locator after contextual rereading.
T12-E203	V14	p-008 paragraph 456	V14-L172	「これからも同じだ。おれたちは負けない。負けないのだから、お前たちのような無様に堕おちはしない。人を捨てる必要なんて──生きるのをやめる必要...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	FUTURE_TIME	temporal_grammar_mou_mada_mata_itsuka	Retained from V14 canonical locator after contextual rereading.
T12-E204	V14	p-008 paragraph 554	V14-L180	「なんてことすんのよ……父さんはそれやって帰ってこなかったのに。あんたまで帰ってこなかったらどうしようって……！」	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	RETURN_KAERU;ADDRESS_FORMS	return_kaeru_homeward_recipient	Retained from V14 canonical locator after contextual rereading.
T12-E205	V14	p-008 paragraph 568	V14-L183	今更だが聞いてみよう。この作戦から帰ったら。──泥水味の合成珈コー琲ヒーなんかよりはるかに旨うまい、スピアヘッド戦隊伝統のタンポポの根を炒い...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	RETURN_KAERU	return_kaeru_homeward_recipient	Retained from V14 canonical locator after contextual rereading.
T12-E206	V14	p-008 paragraph 622	V14-L193	『兄さんがおれを許してないから、いつまでも傷が残っているんだと思ってた。でもそうじゃなくて、兄さんはおれを憎んでなんかいなくて、おれも兄さん...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	FORGIVE_ALLOW	forgive_allow_orthographic_context	Retained from V14 canonical locator after contextual rereading.
T12-E207	V14	p-008 paragraph 629	V14-L194	『許せていなかった。だからまだ傷のままだった。だからそれを衝つかれただけで、あんなにもたやすく堕おちてしまった。兄さんの姿で首を絞められただ...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	FUTURE_TIME;FORGIVE_ALLOW	temporal_grammar_mou_mada_mata_itsuka	Retained from V14 canonical locator after contextual rereading.
T12-E208	V14	p-008 paragraph 643	V14-L195	「傷を抉えぐられたら、痛いのは当然です。今はどう思っていても、傷つけられたその時に痛かったことには変わりはないんです。……赦ゆるせてないから...	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	PAIN_PLAIN	plain_emotional_admission_pain	Retained from V14 canonical locator after contextual rereading.
T12-E209	V14	p-008 paragraph 653	V14-L197	『──痛かった、』	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	PAIN_PLAIN	plain_emotional_admission_pain	Retained from V14 canonical locator after contextual rereading.
T12-E210	V14	p-008 paragraph 656	V14-L198	『絞め殺されたのも、おれのせいだと責められたのも。兄さんに見放されたと思ったのも。痛かった。ずっと、苦しかった──……』	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	PAIN_PLAIN	plain_emotional_admission_pain	Retained from V14 canonical locator after contextual rereading.
T12-E211	V14	p-009 paragraph 2	V14-L206	『我ら、世界に誇る正義たらん』。──つまり、連邦人の我らはすなわち正義である。	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	JUSTICE;JUSTICE_ASPIRATIONAL;JUSTICE_DECLARATIVE	justice_aspiration_identity_grammar	Retained from V14 canonical locator after contextual rereading.
T12-E212	V14	p-009 paragraph 12	V14-L208	言葉も、思索も、自由も、意志も、怠惰で惰弱なニワトリ風ふ情ぜいが、手にして良よいものではなかったのだ。	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	FREEDOM;PERSONHOOD_SELF	freedom_rights_illusion_normative_lexicon	Retained from V14 canonical locator after contextual rereading.
T12-E213	V14	p-009 paragraph 15	V14-L209	「……我らギアーデは、再び帝国に戻るべきだ」	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	RETURN_MODORU	return_modoru_state_reentry_recovery	Retained from V14 canonical locator after contextual rereading.
T12-E214	V14	p-009 paragraph 28	V14-L214	そしてノウゼン侯家直系にして機動打撃群の戦帝、シンエイ・ノウゼンを傍かたわらに従えて。	EXACT_VERIFIED	LI/CS/NV/PF as classified in V14 deep reading	OBEY	support_obey_trust_rely_contrast	Retained from V14 canonical locator after contextual rereading.
T12-E215	Alter.1	あとがき / OEBPS/part0063.xhtml ¶020	A1-L005	時々というかむしろしょっちゅう青春してる死神と鮮血女王	EXACT_VERIFIED	PT	ALTER1_LANGUAGE_CONTROL	voice_address_temporality_control	Alter.1 audited story-level supplemental language evidence.
T12-E216	Alter.1	冬の日に、隻影二つ / OEBPS/part0010.xhtml ¶028	A1-L008	帰りを待つ者などいない	EXACT_VERIFIED	NV/SI	ALTER1_LANGUAGE_CONTROL	voice_address_temporality_control	Alter.1 audited story-level supplemental language evidence.
T12-E217	Alter.1	レーナ＋アネット / OEBPS/part0012.xhtml ¶001	A1-L015	自由な最後の一日	EXACT_VERIFIED	CS	ALTER1_LANGUAGE_CONTROL	voice_address_temporality_control	Alter.1 audited story-level supplemental language evidence.
T12-E218	Alter.1	クレイモア戦隊 / OEBPS/part0013.xhtml ¶019	A1-L017	誰にも頼らず戦えないような子は生き残れないわ	EXACT_VERIFIED	CS/MI	ALTER1_LANGUAGE_CONTROL	voice_address_temporality_control	Alter.1 audited story-level supplemental language evidence.
T12-E219	Alter.1	常闇のヘブンリー・ブルー / OEBPS/part0018.xhtml ¶026	A1-L025	視覚の同調ができれば、──同じものが見られれば、よかった	EXACT_VERIFIED	CS/LI	ALTER1_LANGUAGE_CONTROL	voice_address_temporality_control	Alter.1 audited story-level supplemental language evidence.
T12-E220	Alter.1	仔猫 / OEBPS/part0020.xhtml ¶031	A1-L030	あなたがいなくて、わたしは──とてもさびしい	EXACT_VERIFIED	CS/LI	ALTER1_LANGUAGE_CONTROL	voice_address_temporality_control	Alter.1 audited story-level supplemental language evidence.
T12-E221	Alter.1	兄妹 / OEBPS/part0023.xhtml ¶039	A1-L033	そなたを形作るものを、いくつ捨ててもまだ、そなたであるかの	EXACT_VERIFIED	CS/LI	ALTER1_LANGUAGE_CONTROL	voice_address_temporality_control	Alter.1 audited story-level supplemental language evidence.
