evidence_id	source	source_locator	prior_locator_id	anchor	quote_state	evidence_class	evidence_type	motif	analytic_function	note
T13-E102	V14	p-007 / para 171	V14-L098	「私は〈レギオン〉統括ネットワーク指揮官機、識コー別ルサ名イン〝ノゥ・フェイス〟。ギアーデ連邦軍特記戦力〝バーレイグ〟──つまり君と、その配...	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	「私は〈レギオン〉統括ネットワーク指揮官機、識コー別ルサ名イン〝ノゥ・フェイス〟。ギアーデ連邦軍特記戦力〝バーレイグ〟─	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E103	V14	p-008 / para 7	V14-L121	「エイティシックスは化物なんかじゃないって。同じ人間、同胞だって。本当は自分でわかってるってことじゃないか……！」	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	「エイティシックスは化物なんかじゃないって。同じ人間、同胞だって。本当は自分でわかってるってことじゃないか……！」	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E104	V14	p-008 / para 197	V14-L141	「共和国も、この連邦も。──エイティシックスを排斥し、受け入れなかった国だからおれたちも嬉き々きとして殺さつ戮りくするだろうとでも思っている...	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	「共和国も、この連邦も。──エイティシックスを排斥し、受け入れなかった国だからおれたちも嬉き々きとして殺さつ戮りくするだ	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E105	V14	p-008 / para 359	V14-L160	まずい、また動けなくなる。人間である──成長して変化して強くなっていくエイティシックスたちならあるいは今度は耐えられるのかもしれないけれど、...	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	まずい、また動けなくなる。人間である──成長して変化して強くなっていくエイティシックスたちならあるいは今度は耐えられるの	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E106	V14	p-008 / para 557	V14-L181	「おかげでシンのところに行けた。シンを助けられたわ。だから……」	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	「おかげでシンのところに行けた。シンを助けられたわ。だから……」	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E107	V14	p-008 / para 690	V14-L202	「ミリーゼ、じゃなかった？」	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	「ミリーゼ、じゃなかった？」	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E108	V14	p-010 / para 16	V14-L220	そして本書をお手に取ってくださったあなた。いつもありがとうございます。笑えなくなったら負け、を合言葉に戦わんとする少年少女たちと、彼ら彼女ら...	EXACT_VERIFIED	PF/NV/CS	PROSE_LOCATOR	そして本書をお手に取ってくださったあなた。いつもありがとうございます。笑えなくなったら負け、を合言葉に戦わんとする少年少	prose_motif_control	canonical volume locator retained for motif/object/space context
T13-E109	V01	L10 / V01 update / Names / numbers			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Names / numbers	object_history_or_formal_recurrence	classification vs particular identity; accountability; memory
T13-E110	V01	L10 / V01 update / Fragments / plates			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Fragments / plates	object_history_or_formal_recurrence	portable grave/counter-archive
T13-E111	V01	L10 / V01 update / Graves / absence of graves			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Graves / absence of graves	object_history_or_formal_recurrence	politics of public memory and historical existence
T13-E112	V01	L10 / V01 update / Road / destination			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Road / destination	object_history_or_formal_recurrence	constrained freedom, movement, future relation
T13-E113	V01	L10 / V01 update / Return			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Return	object_history_or_formal_recurrence	family duty before romance
T13-E114	V01	L10 / V01 update / Voice			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Voice	object_history_or_formal_recurrence	command, intimacy, haunting, preserved cognition
T13-E115	V01	L10 / V01 update / Headless knight			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Headless knight	object_history_or_formal_recurrence	severed embodiment, dead military identity
T13-E116	V01	L10 / V01 update / Inverted flag			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Inverted flag	object_history_or_formal_recurrence	Republic has inverted its own ideals
T13-E117	V01	L10 / V01 update / Red / poppy			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Red / poppy	object_history_or_formal_recurrence	death/memory/political identity seed
T13-E118	V01	L10 / V01 update / Photo			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Photo	object_history_or_formal_recurrence	material proof of personhood/social life
T13-E119	V01	L10 / V01 update / Empty base objects			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Empty base objects	object_history_or_formal_recurrence	mundane counter-archive; future capacities interrupted
T13-E120	V01	L10 / V01 update / Juggernaut			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Juggernaut	object_history_or_formal_recurrence	semantic embodiment of administrative dehumanization
T13-E121	V01	L10 / V01 update / Para-RAID			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Para-RAID	object_history_or_formal_recurrence	connection and coercive access
T13-E122	V01	L10 / V01 update / The number 86			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	The number 86	object_history_or_formal_recurrence	depersonalizing designation capable of later reclamation
T13-E123	V02	L10 / V02 update / Cage / bird			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Cage / bird	object_history_or_formal_recurrence	safety becomes cage when it defines/forbids departure; not all protection is imprisonment
T13-E124	V02	L10 / V02 update / Empty room			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Empty room	object_history_or_formal_recurrence	provisional identity / weak settlement; interpretation remains ambiguous
T13-E125	V02	L10 / V02 update / Photos			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Photos	object_history_or_formal_recurrence	memory tied to living future/return rather than only dead remembrance
T13-E126	V02	L10 / V02 update / Snow			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Snow	object_history_or_formal_recurrence	death landscape converted into lived time
T13-E127	V02	L10 / V02 update / Road / return			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Road / return	object_history_or_formal_recurrence	belonging can attach to war after geographic escape
T13-E128	V02	L10 / V02 update / Names			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Names	object_history_or_formal_recurrence	naming creates grief and memory as well as recognition
T13-E129	V02	L10 / V02 update / Fido + plates			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Fido + plates	object_history_or_formal_recurrence	memorial custody can be transferred/laid down without betrayal
T13-E130	V02	L10 / V02 update / Reginleif			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Reginleif	object_history_or_formal_recurrence	possible analogue for survivors: recontextualized without fully escaping inherited combat logic
T13-E131	V02	L10 / V02 update / Morp﻿ho / railgun			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Morp﻿ho / railgun	object_history_or_formal_recurrence	individual dead identity scaled into institutional/military destruction
T13-E132	V02	L10 / V02 update / Retirement			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Retirement	object_history_or_formal_recurrence	status denied in life becomes bitter final self-grant
T13-E133	V02	L10 / V02 update / 86 title/name			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	86 title/name	object_history_or_formal_recurrence	transition from imposed administrative label toward contested self-identity
T13-E134	V03	L10 / V03 update / Pride			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Pride	object_history_or_formal_recurrence	dignity → exclusivity risk → survival/return reinterpretation
T13-E135	V03	L10 / V03 update / Road / return			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Road / return	object_history_or_formal_recurrence	future becomes repeated departure-and-return rather than terminal road
T13-E136	V03	L10 / V03 update / Sea			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Sea	object_history_or_formal_recurrence	unseen nonfunctional future / outward desire
T13-E137	V03	L10 / V03 update / Cage			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Cage	object_history_or_formal_recurrence	protection constrains when it scripts life or converts person into asset
T13-E138	V03	L10 / V03 update / Monster			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Monster	object_history_or_formal_recurrence	social category appears when Eighty-Six reject expected victim role
T13-E139	V03	L10 / V03 update / Grave / fragment			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Grave / fragment	object_history_or_formal_recurrence	remembered relation matters more than memorial medium
T13-E140	V03	L10 / V03 update / Mercy pistol			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Mercy pistol	object_history_or_formal_recurrence	death-custody identity under strain; do not treat as complete end of Undertaker role
T13-E141	V03	L10 / V03 update / Red flower field			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Red flower field	object_history_or_formal_recurrence	battlefield/death landscape becomes site of revised pride and future speech
T13-E142	V03	L10 / V03 update / Voice / body			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Voice / body	object_history_or_formal_recurrence	V1 voice-first architecture reaches embodied co-presence
T13-E143	V03	L10 / V03 update / Open sky / empty space			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Open sky / empty space	object_history_or_formal_recurrence	open possibility can be frightening when no path has been learned
T13-E144	V04	L10 / V04 update / Search / find			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Search / find	object_history_or_formal_recurrence	asks how to seek another person without deciding in advance what must be found
T13-E145	V04	L10 / V04 update / Scar			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Scar	object_history_or_formal_recurrence	visible history + boundary of interpretive entitlement
T13-E146	V04	L10 / V04 update / Armor			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Armor	object_history_or_formal_recurrence	survival role protects while potentially separating self from contact
T13-E147	V04	L10 / V04 update / IFF			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	IFF	object_history_or_formal_recurrence	political belonging and tactical recognition use similar sorting logic
T13-E148	V04	L10 / V04 update / Front Toward Enemy			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Front Toward Enemy	object_history_or_formal_recurrence	ethical orientation becomes harder when harm-producing patterns exist inside “friendly” side/self
T13-E149	V04	L10 / V04 update / Triage			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Triage	object_history_or_formal_recurrence	post-happy-ending ethics requires choosing among imperfect goods rather than pure rescue
T13-E150	V04	L10 / V04 update / Unknown house			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Unknown house	object_history_or_formal_recurrence	origin/place ≠ present home
T13-E151	V04	L10 / V04 update / Human farm			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Human farm	object_history_or_formal_recurrence	instrumentalization universalized by Legion
T13-E152	V04	L10 / V04 update / Humanlike Phönix			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Humanlike Phönix	object_history_or_formal_recurrence	appearance-based personhood judgment inverted from V1 Juggernaut
T13-E153	V04	L10 / V04 update / Return request			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Return request	object_history_or_formal_recurrence	future relation becomes operational behavior, not only symbol
T13-E154	V04	L10 / V04 update / Happy ending			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Happy ending	object_history_or_formal_recurrence	formal transition from survival/reunion plot to life-after-survival plot
T13-E155	V05	L10 / V05 update / Swan / song			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Swan / song	object_history_or_formal_recurrence	aesthetic beauty intensifies ethical horror of expendability
T13-E156	V05	L10 / V05 update / White mourning / snow			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	White mourning / snow	object_history_or_formal_recurrence	purity/mourning laid over mechanized death
T13-E157	V05	L10 / V05 update / Corpse road			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Corpse road	object_history_or_formal_recurrence	survival built materially on the dead; master V05 object
T13-E158	V05	L10 / V05 update / Severed head			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Severed head	object_history_or_formal_recurrence	human head/death motif transformed by artificial embodiment
T13-E159	V05	L10 / V05 update / Return / 還る			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Return / 還る	object_history_or_formal_recurrence	same verb-field pulls dead and living in opposite directions
T13-E160	V05	L10 / V05 update / Resurrection			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Resurrection	object_history_or_formal_recurrence	technological continuation ≠ restoration
T13-E161	V05	L10 / V05 update / Hero			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Hero	object_history_or_formal_recurrence	individual brilliance as strategic weakness/dependency
T13-E162	V05	L10 / V05 update / Star field			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Star field	object_history_or_formal_recurrence	shared beauty + acknowledgment of limited mutual knowledge
T13-E163	V05	L10 / V05 update / Scar			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Scar	object_history_or_formal_recurrence	historical evidence no longer required as permanent bodily identity
T13-E164	V06	L10 / V06 update / Night/dawn			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Night/dawn	object_history_or_formal_recurrence	dawn is not victory but the return of desire while darkness persists.
T13-E165	V06	L10 / V06 update / Wolf/human			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Wolf/human	object_history_or_formal_recurrence	difference is not cured through domestication; relation is built through adjustment.
T13-E166	V06	L10 / V06 update / Snow			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Snow	object_history_or_formal_recurrence	carries both Sirin corpse-road horror and awkward Shin/Lena intimacy.
T13-E167	V06	L10 / V06 update / Footsteps/pace			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Footsteps/pace	object_history_or_formal_recurrence	Shin matching Lena's pace becomes concrete metaphor for relation across difference.
T13-E168	V06	L10 / V06 update / Sea			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Sea	object_history_or_formal_recurrence	V3 outward future object becomes V6 jointly spoken destination.
T13-E169	V06	L10 / V06 update / Nouzen skull crest			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Nouzen skull crest	object_history_or_formal_recurrence	death emblem is rehistoricized as childhood/family inheritance.
T13-E170	V06	L10 / V06 update / Home / return			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Home / return	object_history_or_formal_recurrence	pluralizes across base, blood history, comrades and person waiting.
T13-E171	V06	L10 / V06 update / Backup/replacement			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Backup/replacement	object_history_or_formal_recurrence	repeated Sirin body continuity makes death/finality itself a motif.
T13-E172	V07	L10 / V07 update / Mist / haze / fog / starlight blue			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Mist / haze / fog / starlight blue	object_history_or_formal_recurrence	the chapter-color progression moves from obscured perception toward navigable light rather than total daylight/certainty. V7 resolves several desires while preserving war and relational incompletion.
T13-E173	V07	L10 / V07 update / Hero / cage			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Hero / cage	object_history_or_formal_recurrence	heroic recognition becomes a public/institutional enclosure when the Strike Package must continue embodying national morale.
T13-E174	V07	L10 / V07 update / Line / boundary			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Line / boundary	object_history_or_formal_recurrence	Lena repeatedly draws the Republic/Eighty-Six boundary to exile herself morally; Shiden insists that both sides have already crossed it relationally.
T13-E175	V07	L10 / V07 update / Dance / rhythm			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Dance / rhythm	object_history_or_formal_recurrence	Shin and Lena coordinate separate rhythms, stumble, and continue. The image supports relation as adjustment rather than fusion.
T13-E176	V07	L10 / V07 update / Fireworks			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Fireworks	object_history_or_formal_recurrence	battlefield light is neither erased nor left exclusive; peaceful repetition adds a new future-facing association.
T13-E177	V07	L10 / V07 update / Glass / confession			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Glass / confession	object_history_or_formal_recurrence	Zelene's meeting behind acrylic evokes confession without sacramental absolution; information and guilt cross a barrier while bodies/status remain separated.
T13-E178	V07	L10 / V07 update / Formal clothing / costume			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Formal clothing / costume	object_history_or_formal_recurrence	uniforms and combat gear no longer monopolize bodily identity; social dress temporarily makes alternative roles inhabitable.
T13-E179	V07	L10 / V07 update / Festival/calendar			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Festival/calendar	object_history_or_formal_recurrence	future becomes repeatable (`again`, next year, another sight) rather than a single impossible horizon.
T13-E180	V07	L10 / V07 update / Kiss / unfinished speech			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Kiss / unfinished speech	object_history_or_formal_recurrence	physical reciprocation precedes Lena's explicit verbal answer, preserving desire and relationship-status as distinct layers.
T13-E181	V08	L10 / V08 update / Sea			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Sea	object_history_or_formal_recurrence	future destination + indifferent ecology + war space + bodily rupture; no single stable meaning
T13-E182	V08	L10 / V08 update / Tower Upright / Reverse			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Tower Upright / Reverse	object_history_or_formal_recurrence	formal architecture of moving from purified function toward plural personhood
T13-E183	V08	L10 / V08 update / Stella Maris / ship			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Stella Maris / ship	object_history_or_formal_recurrence	institution is valuable insofar as it carries people/continuity, not because preservation is absolute
T13-E184	V08	L10 / V08 update / Laughing Fox mark			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Laughing Fox mark	object_history_or_formal_recurrence	inherited symbol becomes revisable moral obligation rather than fixed heroic identity
T13-E185	V08	L10 / V08 update / Shin's blade			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Shin's blade	object_history_or_formal_recurrence	material continuity/hope and relational memory, not proof of survival
T13-E186	V08	L10 / V08 update / Musukura			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Musukura	object_history_or_formal_recurrence	anti-centrality / limit on human explanatory ownership; paratext blocks hidden-lore overreading
T13-E187	V08	L10 / V08 update / Left arm			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Left arm	object_history_or_formal_recurrence	forced identity revision; future meaning deliberately unresolved at V08 boundary
T13-E188	V08	L10 / V08 update / Pride			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Pride	object_history_or_formal_recurrence	pride retained as value but dethroned as sole condition of selfhood
T13-E189	V09	L10 / V09 update / Mirror			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Mirror	object_history_or_formal_recurrence	similarity that enables self-recognition without asserting identity
T13-E190	V09	L10 / V09 update / Blue bird / next thing			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Blue bird / next thing	object_history_or_formal_recurrence	happiness/future as something findable without immediate grand answer
T13-E191	V09	L10 / V09 update / Clock in crocodile			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Clock in crocodile	object_history_or_formal_recurrence	time/life continues even inside apparent engulfment or role loss
T13-E192	V09	L10 / V09 update / Sketchbook			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Sketchbook	object_history_or_formal_recurrence	preexisting noncombat self-capacity reactivated after disability
T13-E193	V09	L10 / V09 update / Scar / wound			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Scar / wound	object_history_or_formal_recurrence	history can become bond or curse depending on whether it requires sameness
T13-E194	V09	L10 / V09 update / Collar			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Collar	object_history_or_formal_recurrence	role presented as dignity but functioning as conditional captivity
T13-E195	V09	L10 / V09 update / Return speech			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Return speech	object_history_or_formal_recurrence	home increasingly defined by relation available after role change
T13-E196	V09	L10 / V09 update / Frontline girls			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Frontline girls	object_history_or_formal_recurrence	multiple young women bear distinct inherited/command/combat roles; visual comparison without equivalence
T13-E197	V10	L10 / V10 update / fragment			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	fragment	object_history_or_formal_recurrence	governing formal principle: identity reconstructed without seamless totality
T13-E198	V10	L10 / V10 update / scarf			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	scarf	object_history_or_formal_recurrence	object meaning accumulates and changes
T13-E199	V10	L10 / V10 update / pistol / Misericorde			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	pistol / Misericorde	object_history_or_formal_recurrence	care, death, self-release, burden
T13-E200	V10	L10 / V10 update / Undertaker mark			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Undertaker mark	object_history_or_formal_recurrence	role can be retained after exclusivity changes
T13-E201	V10	L10 / V10 update / name			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	name	object_history_or_formal_recurrence	ethical force emerges through relation/context
T13-E202	V10	L10 / V10 update / butterfly			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	butterfly	object_history_or_formal_recurrence	symbolic freedom without required literal belief
T13-E203	V10	L10 / V10 update / river / Lethe			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	river / Lethe	object_history_or_formal_recurrence	liminal movement toward future while carrying names
T13-E204	V10	L10 / V10 update / Fido body			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Fido body	object_history_or_formal_recurrence	identity continuity across changing chassis
T13-E205	V10	L10 / V10 update / rose / gentle world			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	rose / gentle world	object_history_or_formal_recurrence	future gentleness and counterfactual grief
T13-E206	V10	L10 / V10 update / countdown direction			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	countdown direction	object_history_or_formal_recurrence	resists smooth heroic origin causality
T13-E207	V11	L10 / V11 update / D-DAY graphic dividers			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	D-DAY graphic dividers	object_history_or_formal_recurrence	operational time imposes schedule/form over continent-scale suffering.
T13-E208	V11	L10 / V11 update / Blue sky			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Blue sky	object_history_or_formal_recurrence	beautiful weather remains indifferent to human misery; suffering is not cosmically validated.
T13-E209	V11	L10 / V11 update / Great Wall			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Great Wall	object_history_or_formal_recurrence	barrier of racial exclusion → failed fortification → first-meeting site → future chosen-return memorial.
T13-E210	V11	L10 / V11 update / Rail			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Rail	object_history_or_formal_recurrence	evacuation capacity and vulnerability; infrastructure can preserve or trap bodies depending on control.
T13-E211	V11	L10 / V11 update / Saint / Queen			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Saint / Queen	object_history_or_formal_recurrence	Lena's inherited and relational symbols become tactical masks she can enter and exit rather than total identities.
T13-E212	V11	L10 / V11 update / White lily stained red			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	White lily stained red	object_history_or_formal_recurrence	surviving flower in massacre field visually/narratively reverses Republic purity imagery into guilt and vulnerability.
T13-E213	V11	L10 / V11 update / Uniform/cap/rifle			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Uniform/cap/rifle	object_history_or_formal_recurrence	Lena weaponizes Republic military visual grammar to make citizens move, then jokes about hiding her face for future fireworks.
T13-E214	V11	L10 / V11 update / Embrace			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Embrace	object_history_or_formal_recurrence	final image shifts from public role and operational chronology to grief held in private relation.
T13-E215	V12	L10 / V12 update / Mary / lamb / sheep / shepherd			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Mary / lamb / sheep / shepherd	object_history_or_formal_recurrence	nursery-rhyme vocabulary turns obedience and guidance into a recurring formal problem across politics and Legion nomenclature.
T13-E216	V12	L10 / V12 update / Hail Mary / silver bullet			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Hail Mary / silver bullet	object_history_or_formal_recurrence	desperate single solution substitutes for distributed learning and correction.
T13-E217	V12	L10 / V12 update / Blue bullet editorial line			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Blue bullet editorial line	object_history_or_formal_recurrence	`生き抜くためには、愚かなままではいられない` foregrounds survival-through-learning at the paratext level.
T13-E218	V12	L10 / V12 update / doors			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	doors	object_history_or_formal_recurrence	educational fields imagined as doors one may open, inspect and decline; extends V7 capability-menu motif.
T13-E219	V12	L10 / V12 update / fog			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	fog	object_history_or_formal_recurrence	Sirins remove one form of operational fog by removing independent will; human politics must instead learn to judge inside uncertainty.
T13-E220	V12	L10 / V12 update / moon-viewing / apple rabbits / food			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	moon-viewing / apple rabbits / food	object_history_or_formal_recurrence	ritual repetition and playful skill circulate across characters, turning ordinary culture into shared future time.
T13-E221	V12	L10 / V12 update / crown/title/name			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	crown/title/name	object_history_or_formal_recurrence	Vika/Frederica/Raiden scenes move inherited titles from fixed hierarchy toward negotiable relational language.
T13-E222	A1	L10 / A1 update / Birthdays / gifts			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Birthdays / gifts	object_history_or_formal_recurrence	repeatable time; future becomes calendrical and social
T13-E223	A1	L10 / A1 update / Tea / coffee			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Tea / coffee	object_history_or_formal_recurrence	curiosity and shared future without requiring sameness
T13-E224	A1	L10 / A1 update / Kitten			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Kitten	object_history_or_formal_recurrence	ordinary care and domestic racial ontology in one object
T13-E225	A1	L10 / A1 update / Scent / perfume			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Scent / perfume	object_history_or_formal_recurrence	embodied particularity; not cure or metaphysical proof
T13-E226	A1	L10 / A1 update / Bookmark / music box / cuff links / choker			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Bookmark / music box / cuff links / choker	object_history_or_formal_recurrence	desire made durable through objects; status shapes private exchange
T13-E227	A1	L10 / A1 update / Personnel records / books			LEDGER_SYNTHESIS	RR/SI	LONGITUDINAL_MOTIF	Personnel records / books	object_history_or_formal_recurrence	archive can expand self-knowledge without compelling identity restoration
